ID,Date,Dat_EC,DateMission,Mission,Equipe,Pays,Site Region,Site Precis,Latitude (N ou S),GPS,GPS_lat_corrigée,Longitude (E ou W),GPS,GPS_long_corrigée,commentaire_GPS,Sexe,Age,Gestante,Lactation,Suitee,ReproStatus,Poids_gr,L_avant_bras_mm,L_totale_corps_mm,Taille_yeux,L_queue_mm,L_metacarpe_3ieme_doigt_mm,Couleur_pelage_dorsal,Couleur_pelage_ventral,ID Mere,Lieu de Capture,Dans:,Proximite du Village,Méthode de capture,Consensus genre,Consensus espèce,Consensus,Consensus famille,Date experiment,Res1NP-ZEBV,Res2NP-ZEBV,RecNP-ZEBV,Res1GP-ZEBVkiss,Res2GP-ZEBVkiss,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,article 2018,séquence_cytB,séquence_12S,Résultats  RT-qPCR (NIH-pan Filo),PCR NP Zaire,seq NP-Zaire,PCR NP sudan,seq NP-sudan,PCR VP35 Zaire,seq VP35 Zaire
CCCA03757,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86308,,E,11.48728,,,Male,Juvénile,,,,MalJuv,125,100,188,manquant,12,66,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,10,0,0,2,3,13,13,6,45,3,11,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03760,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,135,100,195,manquant,13,65,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,7,0,0,4,0,12,1,8,4,3,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03763,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,105,92,187,manquant,12,64,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,3,0,0,27,24,4,2,89,4,15,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03764,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,135,101,190,manquant,10,65,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,4,0,0,0,2,3,4,4,3,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03766,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.49763,,,Femelle,Juvénile,0,0,0,FemJuv,125,100,186,manquant,0,65,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,3,0,0,2,1,1,1,7,2,3,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03767,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte,0,1,0,FemAdLact,275,118,255,manquant,22,78,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,2,0,0,49,47,1,2,200,2,42,1,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03768,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte,0,0,0,FemAd,245,120,245,manquant,12,80,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,5,1,0,381,358,44,1,1603,29,290,9,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03769,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,130,100,192,manquant,12,66,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,6,0,0,16,17,2,2,65,9,13,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03770,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,115,97,180,manquant,16,66,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,3,0,0,1,1,4,2,2,1,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03772,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,140,100,195,manquant,10,67,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,56,0,0,2,3,6,2,4,17,2,12,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
