ID,Date,Date_EC,DateMission,Mission,Equipe,Pays,Site Region,Site Precis,Latitude (N ou S),GPS,GPS_lat_corrigée,Longitude (E ou W),GPS,GPS_long_corrigée,commentaire_GPS,Sexe,Age,Gestante,Lactation,Suitee,ReproStatus,Poids_gr,L_avant_bras_mm,L_totale_corps_mm,Taille_yeux,L_queue_mm,L_metacarpe_3ieme_doigt_mm,Couleur_pelage_dorsal,Couleur_pelage_ventral,ID Mere,Lieu de Capture,Dans:,Proximite du Village,Méthode de capture,Consensus genre,Consensus espèce,Consensus,Consensus famille,Date experiment,Res1NP-ZEBV,Res2NP-ZEBV,RecNP-ZEBV,Res1GP-ZEBVkiss,Res2GP-ZEBVkiss,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,article 2018,séquence_cytB,séquence_12S,Résultats  RT-qPCR (NIH-pan Filo),PCR NP Zaire,seq NP-Zaire,PCR NP sudan,seq NP-sudan,PCR VP35 Zaire,seq VP35 Zaire
CCCA03427,19/01/2019,1/19/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,375,137,290,grands,0,97,Gris,Gris,,Autre,Ville,0,Filet,Hypsignathus,monstrosus,Hypsignathus monstrosus,,,0,0,0,0,0,6,29,3,2,14,3,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03582,2/3/2019,3/2/2019,3-Mar-19,Fevrier-Mars,Innocent,Cameroun,Ya√†unde,Mvog-Betsi,N,3.86308,,E,11.48729,,,Male,,,,,MalAd,205,119,215,grands,0,85,Gris,Gris,,Autre,Ville,0,Filet,Hypsignathus,monstrosus,Hypsignathus monstrosus,,,0,0,6,0,0,4,6,7,2,6,16,9,5,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03758,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte,0,0,0,FemAd,175,114,200,manquant,0,80,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,3,4,5,2,16,4,5,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03759,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte,,0,0,FemAd,250,117,220,manquant,0,85,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,26,33,1,7,196,62,19,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03761,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte immature,0,0,0,FemAdImmature,140,116,195,manquant,0,72,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,3,0,0,9,5,2,2,6,1,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03771,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte immature,0,0,0,FemAdImmature,235,122,220,manquant,0,87,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,3,0,0,8,7,4,1,248,7,11,3,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03790,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte,0,0,0,FemAd,300,121,240,manquant,0,86,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,3,1,0,285,267,4,1,1069,8,180,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03792,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,145,112,190,manquant,0,77,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,4,0,0,19,29,3,3,16,7,97,3,530,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03793,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,170,114,215,manquant,0,80,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,5,0,0,0,5,3,2,5,4,5,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03794,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,140,110,190,manquant,0,75,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,0,0,3,4,0,4,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
