ID,Date_EC,Age,Gestante,Lactation,Res1GP-ZEBVkiss
CCCA03342,12/4/2018,Adulte,1,0,0
CCCA03343,12/4/2018,Adulte,1,0,1
CCCA03344,12/4/2018,Adulte,1,0,0
CCCA03340,12/4/2018,Adulte,0,0,1
CCCA03338,12/4/2018,Adulte,,0,1
CCCA03345,12/4/2018,Adulte,,,0
CCCA03346,12/4/2018,Adulte,,,0
CCCA03347,12/4/2018,Adulte,,,0
CCCA03358,12/5/2018,Adulte,1,0,0
CCCA03360,12/5/2018,Adulte,1,0,0
CCCA03349,12/5/2018,Juv̩nile,0,0,0
CCCA03352,12/5/2018,Juv̩nile,0,0,1
CCCA03353,12/5/2018,Juv̩nile,0,0,0
CCCA03356,12/5/2018,Adulte,0,0,0
CCCA03350,12/5/2018,Adulte,,,0
CCCA03351,12/5/2018,Adulte,,,1
CCCA03354,12/5/2018,Adulte,,,0
CCCA03355,12/5/2018,Adulte,,,0
CCCA03357,12/5/2018,Adulte,,,0
CCCA03361,12/5/2018,Adulte,,,0
CCCA03366,12/6/2018,Adulte,1,0,0
CCCA03362,12/6/2018,Adulte,,,0
CCCA03363,12/6/2018,Adulte,,,0
CCCA03364,12/6/2018,Adulte,,,0
CCCA03365,12/6/2018,Adulte,,,0
CCCA03369,12/6/2018,Juv̩nile,,,0
CCCA03398,12/10/2018,Adulte,0,0,0
CCCA03402,12/10/2018,Adulte,,,0
CCCA03403,12/10/2018,Adulte,,,0
CCCA03408,12/10/2018,Adulte,,,0
CCCA03409,12/10/2018,Adulte,,,0
CCCA03414,12/11/2018,,0,0,1
CCCA03416,12/11/2018,Adulte,0,0,0
CCCA03411,12/11/2018,,,,0
CCCA03424,1/19/2019,,0,1,1
CCCA03425,1/19/2019,,0,0,0
CCCA03432,1/19/2019,,0,0,0
CCCA03441,1/19/2019,,0,0,0
CCCA03443,1/19/2019,,0,0,0
CCCA03423,1/19/2019,,,,1
CCCA03427,1/19/2019,,,,0
CCCA03429,1/19/2019,,,,0
CCCA03440,1/19/2019,,,,0
CCCA03444,1/19/2019,,,,0
CCCA03526,1/19/2019,,,,0
CCCA03461,1/20/2019,,0,1,1
CCCA03489,1/23/2019,,,,0
CCCA03491,1/23/2019,,,,0
CCCA03503,1/24/2019,,0,0,0
CCCA03508,1/24/2019,,0,0,0
CCCA03504,1/24/2019,,,,0
CCCA03506,1/24/2019,,,,1
CCCA03512,1/26/2019,,0,1,0
CCCA03514,1/26/2019,,0,1,0
CCCA03516,1/26/2019,,0,1,0
CCCA03513,1/26/2019,,0,0,0
CCCA03515,1/26/2019,,0,0,0
CCCA03517,1/26/2019,,0,0,0
CCCA03521,1/26/2019,,,,0
CCCA03530,1/27/2019,,0,1,0
CCCA03527,1/27/2019,,1,0,0
CCCA03533,1/27/2019,,0,0,0
CCCA03534,1/27/2019,,0,0,0
CCCA03536,1/27/2019,,0,0,0
