Date,Species,Antibody_status
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
6/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
7/6/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
3/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
4/7/2007,MN,neg
