	y3prev	y3samp			
1	6/15/2010	8.823529412	34	4	30
2	7/15/2010	10.93792356	62	7	55
3	8/15/2010	15.38912968	140	22	118
4	9/15/2010	16.90025955	258	44	214
5	10/15/2010	18.0597525	347	63	284
6	11/15/2010	21.08604678	369	78	291
7	12/15/2010	23.31709279	342	80	262
8	1/15/2011	24.76922275	271	68	203
9	2/15/2011	29.8610687	128	39	89
10	3/15/2011	29.59099144	117	35	82
11	4/15/2011	35.45168067	64	23	41
12	5/15/2011	34.82155161	56	20	36
13	6/15/2011	23.62965525	61	15	46
14	7/15/2011	20.76161191	112	24	88
15	8/15/2011	19.10411841	176	34	142
16	9/15/2011	19.078315	269	52	217
17	10/15/2011	21.15077514	278	59	219
18	11/15/2011	23.32251785	229	54	175
19	12/15/2011	22.28216504	237	53	184
20	1/15/2012	25.43269814	141	36	105
21	2/15/2012	28.30947593	91	26	65
22	3/15/2012	24.56742878	59	15	44
23	4/15/2012	16.25418245	34	6	28
24	5/15/2012	5.911330049	19	2	17
25	6/15/2012	0	9	0	9
26	7/15/2012	0	8	0	8
27	8/15/2012	3.282828283	14	1	13
28	9/15/2012	11.10347985	47	6	41
29	10/15/2012	14.69017094	77	12	65
30	11/15/2012	15.57057057	112	18	94
31	12/15/2012	15.61800396	148	24	124
32	1/15/2013	6.912442396	79	6	73
33	2/15/2013	4.307692308	17	1	16
34	3/15/2013	3.183023873	13	1	12
35	4/15/2013	11.72839506	7	1	6
36	5/15/2013	10.75268817	5	1	4
37	6/15/2013	2.419354839	3	1	2
38	7/15/2013	0	1	0	1
39	8/15/2013	3.333333333	2	1	1
40	9/15/2013	15.89008363	9	2	7
41	10/15/2013	11.23058542	40	5	35
42	11/15/2013	15.32258065	69	11	58
43	12/15/2013	16.89708141	65	11	54
44	1/15/2014	28.17460317	46	13	33
45	2/15/2014	22.05513784	25	6	19
46	3/15/2014	14.82277121	12	2	10
47	4/15/2014	3.571428571	13	1	12
48	5/15/2014	0	5	0	5
49	6/15/2014	0	2	0	2
50	7/15/2014	0	9	0	9
51	8/15/2014	0.246305419	15	1	14
52	9/15/2014	6.10792374	45	3	42
53	10/15/2014	22.06581101	120	27	93
54	11/15/2014	36.05030711	154	56	98
55	12/15/2014	43.217828	104	45	59
56	1/15/2015	40.75606641	64	27	37
57	2/15/2015	40.46722267	59	24	35
58	3/15/2015	38.27888316	69	27	42
59	4/15/2015	39.5531401	44	18	26
60	5/15/2015	46.26436782	15	7	8
61	6/15/2015	22.72727273	5	2	3
62	7/15/2015	5.747126437	8	1	7
63	8/15/2015	10.29341029	26	3	23
64	9/15/2015	7.738095238	47	4	43
65	10/15/2015	5.177653109	36	2	34
66	11/15/2015	12.35926629	35	5	30
67	12/15/2015	22.10084034	30	7	23
68	1/15/2016	18.04761905	20	4	16
69	2/15/2016	4	8	1	7
70	3/15/2016	7.359307359	5	1	4
71	4/15/2016	19.64285714	6	2	4
72	5/15/2016	13.63636364	4	1	3
73	6/15/2016	0	2	0	2
74	7/15/2016	0	3	0	3
75	8/15/2016	0	7	0	7
76	9/15/2016	5.185185185	42	3	39
77	10/15/2016	16.84472934	90	16	74
78	11/15/2016	26.64177578	101	27	74
79	12/15/2016	35.23655125	80	29	51
80	1/15/2017	27.9800942	60	17	43
81	2/15/2017	25.14106583	52	14	38
82	3/15/2017	43.27160494	44	20	24
83	4/15/2017	62.8125	31	20	11
